Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
VKGYO,-2.427182218695582,231.14999466666666,Gayrimenkul,2.009999990463257,2.059999942779541
VBTYZ,-1.97308807965225,85.25399893333334,Teknoloji,21.860000610351562,22.299999237060547
VRGYO,-2.3972660901509615,77.89999786666667,Gayrimenkul,2.8499999046325684,2.9200000762939453
VERTU,-1.6175551007253104,58.484770133333335,Finans,34.060001373291016,34.619998931884766
VSNMD,9.99999868458715,248.82000213333333,Diğer,63.79999923706055,58.0
YAPRK,1.2700534759358288,358.550016,Temel Tüketim,757.5,748.0
YATAS,-2.255640499493011,129.82580906666666,Tüketim,26.0,26.600000381469727
YGGYO,0.6051460440434222,519.5556181333333,Gayrimenkul,66.5,66.0999984741211
YYAPI,-4.487175372460269,42.3414784,Sanayi,1.4900000095367432,1.559999942779541
YESIL,-4.347829306218971,33.10999893333334,Finans,1.5399999618530273,1.6100000143051147
YKSLN,-3.000000544956752,56.5833344,Hammadde,6.789999961853027,7.0
YUNSA,-2.3131693432051637,87.84,Tüketim,5.489999771118164,5.619999885559082
ZEDUR,-3.140703502536642,44.91074986666667,Sanayi,7.710000038146973,7.960000038146973
